Unnamed: 0,LEA_STATE,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_DISCWODIS_REF_BL_M,SCH_DISCWODIS_REF_BL_F,SCH_DISCWODIS_REF_WH_M,SCH_DISCWODIS_REF_WH_F,SCH_DISCWODIS_ARR_BL_M,SCH_DISCWODIS_ARR_BL_F,SCH_DISCWODIS_ARR_WH_M,SCH_DISCWODIS_ARR_WH_F,SCH_DISCWODIS_CORP_BL_M,SCH_DISCWODIS_CORP_BL_F,SCH_DISCWODIS_CORP_WH_M,SCH_DISCWODIS_CORP_WH_F,SCH_DISCWODIS_EXPWE_BL_M,SCH_DISCWODIS_EXPWE_BL_F,SCH_DISCWODIS_EXPWE_WH_M,SCH_DISCWODIS_EXPWE_WH_F,SCH_DISCWODIS_EXPWOE_BL_M,SCH_DISCWODIS_EXPWOE_BL_F,SCH_DISCWODIS_EXPWOE_WH_M,SCH_DISCWODIS_EXPWOE_WH_F,SCH_DISCWODIS_ISS_BL_M,SCH_DISCWODIS_ISS_BL_F,SCH_DISCWODIS_ISS_WH_M,SCH_DISCWODIS_ISS_WH_F,SCH_DISCWODIS_SINGOOS_BL_M,SCH_DISCWODIS_SINGOOS_BL_F,SCH_DISCWODIS_SINGOOS_WH_M,SCH_DISCWODIS_SINGOOS_WH_F,SCH_DISCWODIS_MULTOOS_BL_M,SCH_DISCWODIS_MULTOOS_BL_F,SCH_DISCWODIS_MULTOOS_WH_M,SCH_DISCWODIS_MULTOOS_WH_F,total_enrollment,total_enrollment_bl,total_enrollment_wh,total_punishment,total_punishment_bl,total_punishment_wh,STATEFP,prop_punishment_bl,prop_punishment_wh,prop_bl,prop_wh,prop_punishment,prop_punishment_comp
1,AK,1914,1915,32391,29961,6,2,89,24,0,0,0,0,0,0,0,0,3,1,1,0,1,1,8,3,227,123,1029,320,109,66,727,229,38,23,270,59,66181,3829,62352,3359,600,2759,2,0.009066046146174879,0.0416887021954942,0.0578564844895061,0.9421435155104939,0.0507547483416691,0.112450095877704
2,AL,124203,119310,209435,195792,429,233,439,159,197,139,139,49,1950,492,4218,733,892,497,639,204,82,12,74,14,14184,8732,14059,5310,10396,6473,7000,2379,7319,3815,2464,785,648740,243513,405227,94507,55842,38665,1,0.0860776274008077,0.0596001479791596,0.37536301137589795,0.624636988624102,0.14567777537996698,0.133902696697305
3,AR,51480,50000,155980,146207,166,58,537,182,58,15,120,47,1580,487,3629,756,160,111,172,55,212,105,213,51,10228,6556,14439,5887,3697,2611,4646,2119,2711,1665,2162,1038,403667,101480,302187,66473,30420,36053,5,0.0753591450378654,0.08931371650395001,0.25139533328213604,0.748604666717864,0.164672861541815,0.18045658097157002
4,AZ,31930,29958,226520,214636,187,86,808,288,56,16,236,78,1,0,2,0,12,3,80,16,26,12,61,18,3712,1674,10230,3562,2275,1167,7380,2746,1591,583,3403,887,503044,61888,441156,41196,11401,29795,4,0.0226640214374886,0.0592294113437393,0.123027011553661,0.8769729884463391,0.0818934327812279,0.116681413957284
5,CA,176952,167770,762921,709803,1721,932,2180,908,154,61,187,75,0,0,0,0,380,161,580,202,113,29,194,75,3837,1902,7451,2428,9795,5688,15906,5537,5473,2516,5994,1645,1817446,344722,1472724,76124,32762,43362,6,0.0180263952821707,0.0238587556384069,0.189673861011551,0.8103261389884491,0.0418851509205776,0.0655955021483507
6,CO,21541,20176,252023,234815,193,86,1075,512,7,2,56,8,0,0,0,0,54,14,219,58,14,5,98,17,1539,722,7688,2418,1122,647,6613,2693,875,417,2820,798,528555,41717,486838,30770,5697,25073,8,0.0107784431137725,0.0474368797949125,0.078926507175223,0.9210734928247769,0.058215322908684995,0.0850613002753471
7,CT,34837,32905,146439,136857,179,133,300,101,145,119,208,63,0,0,0,0,110,60,130,51,15,4,11,2,3083,1718,4643,1587,1589,1154,1570,581,956,561,482,174,351038,67742,283296,19729,9826,9903,9,0.0279912716002256,0.0282106210723625,0.19297625898050896,0.8070237410194909,0.0562018926725882,0.11009396732550801
8,DC,29693,28260,4915,4744,55,25,1,0,17,5,0,0,11,9,0,0,8,5,0,0,24,6,0,0,621,445,22,6,1502,1129,27,12,1012,660,5,2,67612,57953,9659,5609,5534,75,11,0.0818493758504407,0.00110927054369047,0.8571407442465829,0.14285925575341699,0.0829586463941312,0.0877263949196584
9,DE,21786,20520,31634,29374,180,133,100,48,43,38,13,8,0,0,0,0,18,12,18,6,10,2,1,2,2038,1309,1286,620,1386,987,897,398,1170,737,417,176,103314,42306,61008,12053,8063,3990,10,0.0780436339702267,0.0386201289273477,0.40948951739357703,0.590510482606423,0.116663762897574,0.125186364653642
10,FL,320511,305778,554619,522560,3892,2502,3926,1888,455,295,299,126,154,62,507,102,1487,782,1198,522,50,14,60,13,29449,19771,27915,13131,16013,10876,14687,6426,10558,5555,6771,2230,1703468,626289,1077179,181716,101915,79801,12,0.0598279509800008,0.0468461984610219,0.367655277351849,0.632344722648151,0.106674149441023,0.0886450657717501
